word	valence	arousal	dominance	goodness	energy	structure	power	danger	structure
accountability	0.254980	0.037034	0.332845	0.374924	0.170319	-0.087152	0.385545	-0.144678	-0.087152
accountable	0.208980	-0.217966	0.276845	0.346316	-0.063086	-0.209547	0.200274	-0.289491	-0.209547
accountant	0.124980	-0.049966	0.138845	0.182245	0.014109	-0.063104	0.138843	-0.118890	-0.063104
accounting	0.051980	-0.109966	0.176845	0.146449	-0.003150	-0.156880	0.101328	-0.105783	-0.156880
accounts	0.091980	-0.159966	-0.029155	0.089294	-0.162454	-0.023121	-0.051732	-0.178013	-0.023121
accredited	0.168980	-0.020966	0.267845	0.278017	0.100947	-0.115111	0.267969	-0.125207	-0.115111
accretion	-0.052020	0.019034	0.171845	0.034955	0.117158	-0.132858	0.107560	0.058126	-0.132858
accrue	0.019980	-0.018966	0.101845	0.069117	0.036375	-0.070929	0.074594	-0.023152	-0.070929
accueil	-0.050020	-0.048966	-0.030155	-0.050406	-0.048767	-0.029832	-0.070126	0.001159	-0.029832
accumulate	0.072980	0.036034	0.106845	0.109086	0.076009	-0.019058	0.130882	-0.023389	-0.019058
accumulation	-0.021020	0.027034	0.099845	0.025874	0.079783	-0.064086	0.074710	0.038119	-0.064086
accuracy	0.103980	-0.018966	0.301845	0.237947	0.131397	-0.168517	0.261165	-0.075342	-0.168517
accurate	0.242980	-0.139966	0.236845	0.344777	-0.025841	-0.123232	0.225522	-0.262066	-0.123232
accursed	-0.365020	0.245034	-0.155155	-0.426546	0.176276	0.065878	-0.176968	0.426259	0.065878
accusation	-0.427020	0.218034	0.063845	-0.370635	0.282608	-0.129318	-0.062245	0.461913	-0.129318
accusative	-0.302020	0.255034	-0.018155	-0.307675	0.248745	0.007090	-0.041670	0.393448	0.007090
accuse	-0.367020	0.252034	-0.000155	-0.354701	0.266395	-0.038021	-0.062442	0.439182	-0.038021
accused	-0.370020	0.170034	-0.080155	-0.383559	0.155853	-0.029044	-0.161013	0.381422	-0.029044
accuser	-0.378020	0.279034	0.114845	-0.312873	0.352767	-0.107772	0.028210	0.470678	-0.107772
accusing	-0.344020	0.245034	-0.176155	-0.418518	0.161542	0.090382	-0.181710	0.410165	0.090382
